yyyymm,tbl,AAA,BAA,lty,default-spread,term-spread
197706,0.0502,0.0795,0.0891,0.0754,0.0096,0.0252
197707,0.0519,0.0794,0.0887,0.0768,0.0093,0.0249
197708,0.0549,0.0798,0.0882,0.0754,0.0084,0.0205
197709,0.0581,0.0792,0.0880,0.0764,0.0088,0.0183
197710,0.0616,0.0804,0.0889,0.0781,0.0085,0.0165
197711,0.0610,0.0808,0.0895,0.0777,0.0087,0.0167
197712,0.0607,0.0819,0.0899,0.0803,0.0080,0.0196
197801,0.0644,0.0841,0.0917,0.0816,0.0076,0.0172
197802,0.0645,0.0847,0.0920,0.0822,0.0073,0.0177
197803,0.0629,0.0847,0.0922,0.0831,0.0075,0.0202
197804,0.0629,0.0856,0.0932,0.0838,0.0076,0.0209
197805,0.0641,0.0869,0.0949,0.0852,0.0080,0.0211
197806,0.0673,0.0876,0.0960,0.0865,0.0084,0.0192
197807,0.0701,0.0888,0.0960,0.0858,0.0072,0.0157
197808,0.0708,0.0869,0.0948,0.0843,0.0079,0.0135
197809,0.0785,0.0869,0.0942,0.0860,0.0073,0.0075
197810,0.0799,0.0889,0.0959,0.0889,0.0070,0.0090
197811,0.0864,0.0903,0.0983,0.0877,0.0080,0.0013
197812,0.0908,0.0916,0.0994,0.0898,0.0078,-0.0010
197901,0.0935,0.0925,0.1013,0.0886,0.0088,-0.0049
197902,0.0932,0.0926,0.1008,0.0908,0.0082,-0.0024
197903,0.0948,0.0937,0.1026,0.0902,0.0089,-0.0046
197904,0.0946,0.0938,0.1033,0.0922,0.0095,-0.0024
197905,0.0961,0.0950,0.1047,0.0903,0.0097,-0.0058
197906,0.0906,0.0929,0.1038,0.0877,0.0109,-0.0029
197907,0.0924,0.0920,0.1029,0.0895,0.0109,-0.0029
197908,0.0952,0.0923,0.1035,0.0907,0.0112,-0.0045
197909,0.1026,0.0944,0.1054,0.0927,0.0110,-0.0099
197910,0.1170,0.1013,0.1140,0.1034,0.0127,-0.0136
197911,0.1179,0.1076,0.1199,0.1009,0.0123,-0.0170
197912,0.1204,0.1074,0.1206,0.1012,0.0132,-0.0192
